"filename", "language", "XML", "Java", "Properties", "Batch", "comment", "blank", "total"
"d:\FullStackProject\ecommerce-project\Project\angular-ecommerce\spring-boot-ecommerce\.mvn\wrapper\MavenWrapperDownloader.java", "Java", 0, 76, 0, 0, 31, 11, 118
"d:\FullStackProject\ecommerce-project\Project\angular-ecommerce\spring-boot-ecommerce\.mvn\wrapper\maven-wrapper.properties", "Properties", 0, 0, 2, 0, 0, 1, 3
"d:\FullStackProject\ecommerce-project\Project\angular-ecommerce\spring-boot-ecommerce\mvnw.cmd", "Batch", 0, 0, 0, 96, 51, 36, 183
"d:\FullStackProject\ecommerce-project\Project\angular-ecommerce\spring-boot-ecommerce\pom.xml", "XML", 65, 0, 0, 0, 0, 5, 70
"d:\FullStackProject\ecommerce-project\Project\angular-ecommerce\spring-boot-ecommerce\src\main\java\com\luv2code\ecommerce\SpringBootEcommerceApplication.java", "Java", 0, 9, 0, 0, 0, 5, 14
"d:\FullStackProject\ecommerce-project\Project\angular-ecommerce\spring-boot-ecommerce\src\main\java\com\luv2code\ecommerce\config\MyAppConfig.java", "Java", 0, 15, 0, 0, 4, 6, 25
"d:\FullStackProject\ecommerce-project\Project\angular-ecommerce\spring-boot-ecommerce\src\main\java\com\luv2code\ecommerce\config\MyDataRestConfig.java", "Java", 0, 34, 0, 0, 39, 11, 84
"d:\FullStackProject\ecommerce-project\Project\angular-ecommerce\spring-boot-ecommerce\src\main\java\com\luv2code\ecommerce\config\SecurityConfiguration.java", "Java", 0, 11, 0, 0, 17, 2, 30
"d:\FullStackProject\ecommerce-project\Project\angular-ecommerce\spring-boot-ecommerce\src\main\java\com\luv2code\ecommerce\controller\CheckoutController.java", "Java", 0, 18, 0, 0, 0, 8, 26
"d:\FullStackProject\ecommerce-project\Project\angular-ecommerce\spring-boot-ecommerce\src\main\java\com\luv2code\ecommerce\dao\CountryRepository.java", "Java", 0, 7, 0, 0, 0, 4, 11
"d:\FullStackProject\ecommerce-project\Project\angular-ecommerce\spring-boot-ecommerce\src\main\java\com\luv2code\ecommerce\dao\CustomerRepository.java", "Java", 0, 6, 0, 0, 3, 4, 13
"d:\FullStackProject\ecommerce-project\Project\angular-ecommerce\spring-boot-ecommerce\src\main\java\com\luv2code\ecommerce\dao\OrderRepository.java", "Java", 0, 11, 0, 0, 7, 5, 23
"d:\FullStackProject\ecommerce-project\Project\angular-ecommerce\spring-boot-ecommerce\src\main\java\com\luv2code\ecommerce\dao\ProductCategoryRepository.java", "Java", 0, 7, 0, 0, 0, 3, 10
